I0723 14:26:48.622552       1 options.go:102] AgentCert set to "/certs/client.crt".
I0723 14:54:16.123841       1 client.go:254] "Connect to" server="04c750cb-b3ac-4e79-beda-81d2586f29d7"
I0723 14:54:16.123885       1 clientset.go:222] "sync added client connecting to proxy server" serverID="04c750cb-b3ac-4e79-beda-81d2586f29d7"
I0723 14:54:16.123941       1 client.go:356] "Start serving" serverID="04c750cb-b3ac-4e79-beda-81d2586f29d7"
E0723 14:54:19.912586       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:39970->10.244.1.5:4443: use of closed network connection" connectionID=3
I0723 14:54:19.913123       1 client.go:492] "Exiting remoteToProxy" connectionID=3
E0723 14:54:19.912586       1 client.go:551] "conn write failure" err="write tcp 10.244.1.6:39970->10.244.1.5:4443: use of closed network connection" connectionID=3
I0723 14:54:19.913158       1 client.go:534] "Exiting proxyToRemote" connectionID=3
E0723 14:54:21.971432       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:49502->10.244.1.4:9153: use of closed network connection" connectionID=14
I0723 14:54:21.971512       1 client.go:492] "Exiting remoteToProxy" connectionID=14
I0723 14:54:21.971546       1 client.go:534] "Exiting proxyToRemote" connectionID=14
E0723 14:54:35.115400       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:41752->10.244.1.5:4443: use of closed network connection" connectionID=2
I0723 14:54:35.115702       1 client.go:492] "Exiting remoteToProxy" connectionID=2
E0723 14:54:35.115408       1 client.go:551] "conn write failure" err="write tcp 10.244.1.6:41752->10.244.1.5:4443: use of closed network connection" connectionID=2
I0723 14:54:35.115797       1 client.go:534] "Exiting proxyToRemote" connectionID=2
E0723 14:55:19.925254       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:45086->10.244.1.10:4443: use of closed network connection" connectionID=11
E0723 14:55:19.925289       1 client.go:551] "conn write failure" err="write tcp 10.244.1.6:45086->10.244.1.10:4443: use of closed network connection" connectionID=11
I0723 14:55:19.925783       1 client.go:534] "Exiting proxyToRemote" connectionID=11
I0723 14:55:19.925748       1 client.go:492] "Exiting remoteToProxy" connectionID=11
E0723 14:55:19.936153       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:45090->10.244.1.10:4443: use of closed network connection" connectionID=16
I0723 14:55:19.936190       1 client.go:492] "Exiting remoteToProxy" connectionID=16
E0723 14:55:19.936453       1 client.go:551] "conn write failure" err="write tcp 10.244.1.6:45090->10.244.1.10:4443: use of closed network connection" connectionID=16
I0723 14:55:19.936590       1 client.go:534] "Exiting proxyToRemote" connectionID=16
E0723 14:55:19.941759       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:46344->10.244.1.10:4443: use of closed network connection" connectionID=4
I0723 14:55:19.941793       1 client.go:492] "Exiting remoteToProxy" connectionID=4
E0723 14:55:19.941864       1 client.go:551] "conn write failure" err="write tcp 10.244.1.6:46344->10.244.1.10:4443: use of closed network connection" connectionID=4
I0723 14:55:19.941872       1 client.go:534] "Exiting proxyToRemote" connectionID=4
E0723 14:57:20.008248       1 client.go:551] "conn write failure" err="write tcp 10.244.1.6:47628->10.244.1.10:4443: use of closed network connection" connectionID=5
E0723 14:57:20.008321       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:47628->10.244.1.10:4443: use of closed network connection" connectionID=5
I0723 14:57:20.008653       1 client.go:492] "Exiting remoteToProxy" connectionID=5
I0723 14:57:20.008522       1 client.go:534] "Exiting proxyToRemote" connectionID=5
E0723 14:57:35.547430       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:47824->10.244.1.7:9153: use of closed network connection" connectionID=6
I0723 14:57:35.547876       1 client.go:492] "Exiting remoteToProxy" connectionID=6
I0723 14:57:35.547794       1 client.go:534] "Exiting proxyToRemote" connectionID=6
E0723 14:58:20.018460       1 client.go:551] "conn write failure" err="write tcp 10.244.1.6:47626->10.244.1.10:4443: use of closed network connection" connectionID=17
E0723 14:58:20.018476       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:47626->10.244.1.10:4443: use of closed network connection" connectionID=17
I0723 14:58:20.018522       1 client.go:534] "Exiting proxyToRemote" connectionID=17
I0723 14:58:20.018533       1 client.go:492] "Exiting remoteToProxy" connectionID=17
E0723 14:58:20.037444       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:43138->10.244.1.5:4443: use of closed network connection" connectionID=7
I0723 14:58:20.037501       1 client.go:492] "Exiting remoteToProxy" connectionID=7
E0723 14:58:20.037534       1 client.go:551] "conn write failure" err="write tcp 10.244.1.6:43138->10.244.1.5:4443: use of closed network connection" connectionID=7
I0723 14:58:20.037541       1 client.go:534] "Exiting proxyToRemote" connectionID=7
E0723 14:59:21.075132       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:60698->10.224.0.6:20257: use of closed network connection" connectionID=9
I0723 14:59:21.075451       1 client.go:492] "Exiting remoteToProxy" connectionID=9
I0723 14:59:21.075189       1 client.go:534] "Exiting proxyToRemote" connectionID=9
E0723 15:00:20.057895       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:49502->10.244.1.10:4443: use of closed network connection" connectionID=15
I0723 15:00:20.058539       1 client.go:492] "Exiting remoteToProxy" connectionID=15
E0723 15:00:20.058193       1 client.go:551] "conn write failure" err="write tcp 10.244.1.6:49502->10.244.1.10:4443: use of closed network connection" connectionID=15
I0723 15:00:20.058704       1 client.go:534] "Exiting proxyToRemote" connectionID=15
E0723 15:00:20.071277       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:48886->10.244.1.10:4443: use of closed network connection" connectionID=8
I0723 15:00:20.071564       1 client.go:492] "Exiting remoteToProxy" connectionID=8
E0723 15:00:20.071658       1 client.go:551] "conn write failure" err="write tcp 10.244.1.6:48886->10.244.1.10:4443: use of closed network connection" connectionID=8
I0723 15:00:20.071712       1 client.go:534] "Exiting proxyToRemote" connectionID=8
E0723 15:00:35.528279       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:41750->10.244.1.5:4443: use of closed network connection" connectionID=1
I0723 15:00:35.528343       1 client.go:492] "Exiting remoteToProxy" connectionID=1
E0723 15:00:35.528845       1 client.go:551] "conn write failure" err="write tcp 10.244.1.6:41750->10.244.1.5:4443: use of closed network connection" connectionID=1
I0723 15:00:35.529074       1 client.go:534] "Exiting proxyToRemote" connectionID=1
E0723 15:00:35.529368       1 client.go:551] "conn write failure" err="write tcp 10.244.1.6:47010->10.244.1.10:4443: use of closed network connection" connectionID=3
E0723 15:00:35.529570       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:47010->10.244.1.10:4443: use of closed network connection" connectionID=3
I0723 15:00:35.529770       1 client.go:534] "Exiting proxyToRemote" connectionID=3
I0723 15:00:35.529795       1 client.go:492] "Exiting remoteToProxy" connectionID=3
E0723 15:01:20.080464       1 client.go:551] "conn write failure" err="write tcp 10.244.1.6:44900->10.244.1.5:4443: use of closed network connection" connectionID=10
I0723 15:01:20.080742       1 client.go:534] "Exiting proxyToRemote" connectionID=10
E0723 15:01:20.080501       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:44900->10.244.1.5:4443: use of closed network connection" connectionID=10
I0723 15:01:20.080926       1 client.go:492] "Exiting remoteToProxy" connectionID=10
E0723 15:02:20.116798       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:44828->10.244.1.5:4443: use of closed network connection" connectionID=16
I0723 15:02:20.116864       1 client.go:492] "Exiting remoteToProxy" connectionID=16
I0723 15:02:20.116965       1 client.go:534] "Exiting proxyToRemote" connectionID=16
E0723 15:02:35.557132       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:50936->10.244.1.7:9153: use of closed network connection" connectionID=11
I0723 15:02:35.557479       1 client.go:492] "Exiting remoteToProxy" connectionID=11
I0723 15:02:35.557569       1 client.go:534] "Exiting proxyToRemote" connectionID=11
E0723 15:04:20.187879       1 client.go:551] "conn write failure" err="write tcp 10.244.1.6:51364->10.244.1.10:4443: use of closed network connection" connectionID=17
E0723 15:04:20.188214       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:51364->10.244.1.10:4443: use of closed network connection" connectionID=17
I0723 15:04:20.188685       1 client.go:492] "Exiting remoteToProxy" connectionID=17
I0723 15:04:20.188473       1 client.go:534] "Exiting proxyToRemote" connectionID=17
E0723 15:04:21.979131       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:55770->10.244.1.4:9153: use of closed network connection" connectionID=13
I0723 15:04:21.979571       1 client.go:492] "Exiting remoteToProxy" connectionID=13
I0723 15:04:21.979634       1 client.go:534] "Exiting proxyToRemote" connectionID=13
E0723 15:05:20.216205       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:47482->10.244.1.5:4443: use of closed network connection" connectionID=18
I0723 15:05:20.216579       1 client.go:492] "Exiting remoteToProxy" connectionID=18
I0723 15:05:20.216515       1 client.go:534] "Exiting proxyToRemote" connectionID=18
E0723 15:05:20.217655       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:46864->10.244.1.5:4443: use of closed network connection" connectionID=12
I0723 15:05:20.217685       1 client.go:492] "Exiting remoteToProxy" connectionID=12
E0723 15:05:20.217710       1 client.go:551] "conn write failure" err="write tcp 10.244.1.6:46864->10.244.1.5:4443: use of closed network connection" connectionID=12
I0723 15:05:20.217716       1 client.go:534] "Exiting proxyToRemote" connectionID=12
E0723 15:05:20.228148       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:47484->10.244.1.5:4443: use of closed network connection" connectionID=18
I0723 15:05:20.228236       1 client.go:492] "Exiting remoteToProxy" connectionID=18
E0723 15:05:20.228323       1 client.go:551] "conn write failure" err="write tcp 10.244.1.6:47484->10.244.1.5:4443: use of closed network connection" connectionID=18
I0723 15:05:20.228382       1 client.go:534] "Exiting proxyToRemote" connectionID=18
E0723 15:05:35.892081       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:44848->10.244.1.5:4443: use of closed network connection" connectionID=4
I0723 15:05:35.892119       1 client.go:492] "Exiting remoteToProxy" connectionID=4
E0723 15:05:35.892611       1 client.go:551] "conn write failure" err="write tcp 10.244.1.6:44848->10.244.1.5:4443: use of closed network connection" connectionID=4
I0723 15:05:35.892642       1 client.go:534] "Exiting proxyToRemote" connectionID=4
E0723 15:06:11.070625       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:48020->10.244.1.5:4443: use of closed network connection" connectionID=19
I0723 15:06:11.070665       1 client.go:492] "Exiting remoteToProxy" connectionID=19
E0723 15:06:11.070839       1 client.go:551] "conn write failure" err="write tcp 10.244.1.6:48020->10.244.1.5:4443: use of closed network connection" connectionID=19
I0723 15:06:11.071048       1 client.go:534] "Exiting proxyToRemote" connectionID=19
E0723 15:07:20.278296       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:48102->10.244.1.5:4443: use of closed network connection" connectionID=14
I0723 15:07:20.278353       1 client.go:492] "Exiting remoteToProxy" connectionID=14
E0723 15:07:20.278402       1 client.go:551] "conn write failure" err="write tcp 10.244.1.6:48102->10.244.1.5:4443: use of closed network connection" connectionID=14
I0723 15:07:20.278420       1 client.go:534] "Exiting proxyToRemote" connectionID=14
E0723 15:07:35.557627       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:54030->10.244.1.7:9153: use of closed network connection" connectionID=5
I0723 15:07:35.557860       1 client.go:492] "Exiting remoteToProxy" connectionID=5
I0723 15:07:35.558217       1 client.go:534] "Exiting proxyToRemote" connectionID=5
E0723 15:08:20.312097       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:49346->10.244.1.5:4443: use of closed network connection" connectionID=20
I0723 15:08:20.312141       1 client.go:492] "Exiting remoteToProxy" connectionID=20
E0723 15:08:20.312181       1 client.go:551] "conn write failure" err="write tcp 10.244.1.6:49346->10.244.1.5:4443: use of closed network connection" connectionID=20
I0723 15:08:20.312191       1 client.go:534] "Exiting proxyToRemote" connectionID=20
E0723 15:08:34.771827       1 client.go:514] "connection read failure" err="read tcp 10.244.1.6:39026->10.224.0.6:10249: use of closed network connection" connectionID=15
I0723 15:08:34.771876       1 client.go:492] "Exiting remoteToProxy" connectionID=15
I0723 15:08:34.771897       1 client.go:534] "Exiting proxyToRemote" connectionID=15
